Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active
73105,71,1,56,08/22/2020,5409,13.126271029765206,0.18487705675725644,14
73644,69,1,47,08/22/2020,14668,4.704117807472048,0.06817562039814562,21
74436,69,0,43,08/22/2020,5718,12.067156348373556,0.0,26
73103,69,1,58,08/22/2020,4924,14.012997562956945,0.20308692120227456,10
73045,69,0,52,08/22/2020,11293,6.109979633401222,0.0,17
74525,69,0,56,08/22/2020,9492,7.269279393173199,0.0,13
74016,68,0,57,08/22/2020,5697,11.93610672283658,0.0,11
74047,67,1,56,08/22/2020,7317,9.156758234249008,0.13666803334700012,10
74029,67,1,60,08/22/2020,4971,13.47817340575337,0.20116676725005028,6
74959,67,1,50,08/22/2020,7150,9.370629370629372,0.13986013986013987,16
74301,66,1,59,08/22/2020,11499,5.739629533002869,0.08696408383337682,6
73052,65,2,58,08/22/2020,6673,9.740746291023529,0.2997152704930316,5
74571,64,2,57,08/22/2020,3486,18.35915088927137,0.5737234652897303,5
74103,63,0,50,08/22/2020,2134,29.522024367385193,0.0,13
74730,62,0,56,08/22/2020,4800,12.916666666666666,0.0,6
74337,62,4,43,08/22/2020,4913,12.61958070425402,0.8141664970486464,15
73117,61,0,52,08/22/2020,5680,10.73943661971831,0.0,9
73165,60,1,56,08/22/2020,6720,8.928571428571429,0.14880952380952384,3
74044,60,1,50,08/22/2020,7354,8.158825129181398,0.13598041881968995,9
74058,59,0,50,08/22/2020,3946,14.951849974657883,0.0,9
73448,58,0,50,08/22/2020,6295,9.213661636219221,0.0,8
74873,58,0,44,08/22/2020,11863,4.889151142206861,0.0,14
74864,57,0,39,08/22/2020,5149,11.07011070110701,0.0,18
74119,57,0,56,08/22/2020,3157,18.055115616091225,0.0,1
73949,55,0,48,08/22/2020,1523,36.11293499671701,0.0,7
73104,55,0,49,08/22/2020,2287,24.04897245299519,0.0,6
74451,55,0,38,08/22/2020,4543,12.106537530266344,0.0,17
74339,54,0,50,08/22/2020,2357,22.910479422995333,0.0,4
74523,54,0,45,08/22/2020,6022,8.967120557954168,0.0,9
74578,53,1,48,08/22/2020,6138,8.634734441186055,0.16291951775822744,4
73086,53,0,48,08/22/2020,8687,6.101070565212386,0.0,5
74445,52,0,44,08/22/2020,2963,17.549780627742155,0.0,8
74039,52,2,47,08/22/2020,3769,13.796763067126559,0.5306447333510215,3
73049,51,2,43,08/22/2020,5858,8.706043018094913,0.3414134516899966,6
74370,51,1,45,08/22/2020,3594,14.190317195325543,0.2782415136338342,5
73801,51,0,37,08/22/2020,15529,3.284177989567905,0.0,14
74338,50,1,44,08/22/2020,5353,9.340556697179151,0.18681113394358304,5
74130,50,1,44,08/22/2020,2030,24.630541871921185,0.4926108374384236,5
74547,48,0,33,08/22/2020,3437,13.965667733488507,0.0,15
73542,48,1,46,08/22/2020,4501,10.664296822928238,0.22217285047767163,1
74053,48,0,42,08/22/2020,4539,10.575016523463317,0.0,6
74421,47,0,46,08/22/2020,4717,9.963960144159422,0.0,1
74740,47,2,37,08/22/2020,2289,20.532983835736133,0.873743993010048,8
74079,46,0,41,08/22/2020,4248,10.828625235404896,0.0,5
73009,46,8,38,08/22/2020,1308,35.16819571865443,6.116207951070336,0
74441,45,1,39,08/22/2020,5855,7.685738684884714,0.1707941929974381,5
73093,44,0,37,08/22/2020,3054,14.407334643091028,0.0,7
74902,43,0,26,08/22/2020,4102,10.482691370063383,0.0,17
74764,43,0,41,08/22/2020,3814,11.274252753015208,0.0,2
74048,43,1,31,08/22/2020,6213,6.920972155158539,0.16095284081764044,11
74859,42,1,31,08/22/2020,6032,6.962864721485412,0.16578249336870027,10
73662,41,0,14,08/22/2020,6447,6.359547076159454,0.0,27
74059,41,0,36,08/22/2020,5664,7.238700564971752,0.0,5
73173,40,0,38,08/22/2020,3014,13.271400132714001,0.0,2
73141,40,0,38,08/22/2020,2600,15.384615384615385,0.0,2
74056,39,0,31,08/22/2020,5152,7.569875776397516,0.0,8
73121,38,0,28,08/22/2020,3558,10.680157391793141,0.0,10
73055,37,0,35,08/22/2020,10034,3.687462627067969,0.0,2
73077,37,0,33,08/22/2020,6808,5.434782608695652,0.0,4
74883,36,0,30,08/22/2020,2453,14.675907052588666,0.0,6
74538,36,0,30,08/22/2020,4105,8.76979293544458,0.0,6
73439,36,0,31,08/22/2020,7610,4.730617608409987,0.0,5
73095,36,0,30,08/22/2020,1911,18.838304552590266,0.0,6
74954,35,0,26,08/22/2020,5194,6.738544474393532,0.0,9
74343,35,0,31,08/22/2020,3067,11.411803064884252,0.0,4
73550,35,0,28,08/22/2020,2313,15.131863380890618,0.0,7
74131,35,0,30,08/22/2020,2708,12.924667651403249,0.0,5
73449,34,1,28,08/22/2020,3106,10.946555054732777,0.3219575016097875,5
73529,34,1,31,08/22/2020,5440,6.25,0.1838235294117647,2
74931,33,0,27,08/22/2020,1165,28.32618025751073,0.0,6
74041,33,0,33,08/22/2020,2852,11.570827489481065,0.0,0
