Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,Date
74869,4,0,1,08/24/2020,684,5.847953216374268,0.0,3,08/24/2020 11:00AM
73664,4,0,4,08/24/2020,1114,3.5906642728904847,0.0,0,08/24/2020 11:00AM
74756,4,0,2,08/24/2020,707,5.657708628005658,0.0,2,08/24/2020 11:00AM
73058,4,0,4,08/24/2020,193,20.72538860103627,0.0,0,08/24/2020 11:00AM
74052,4,1,3,08/24/2020,1019,3.9254170755642783,0.9813542688910696,0,08/24/2020 11:00AM
74850,4,0,4,08/24/2020,327,12.232415902140673,0.0,0,08/24/2020 11:00AM
74427,4,0,4,08/24/2020,1206,3.316749585406302,0.0,0,08/24/2020 11:00AM
74042,4,0,4,08/24/2020,402,9.950248756218905,0.0,0,08/24/2020 11:00AM
73532,4,0,4,08/24/2020,469,8.528784648187633,0.0,0,08/24/2020 11:00AM
74084,4,0,4,08/24/2020,526,7.604562737642586,0.0,0,08/24/2020 11:00AM
74562,4,0,4,08/24/2020,917,4.362050163576881,0.0,0,08/24/2020 11:00AM
74830,3,0,2,08/24/2020,241,12.448132780082986,0.0,1,08/24/2020 11:00AM
73491,3,1,2,08/24/2020,733,4.092769440654843,1.364256480218281,0,08/24/2020 11:00AM
73735,3,0,3,08/24/2020,694,4.322766570605188,0.0,0,08/24/2020 11:00AM
74842,3,0,3,08/24/2020,128,23.4375,0.0,0,08/24/2020 11:00AM
73655,3,0,3,08/24/2020,827,3.6275695284159615,0.0,0,08/24/2020 11:00AM
73011,3,0,2,08/24/2020,326,9.202453987730062,0.0,1,08/24/2020 11:00AM
74577,3,0,3,08/24/2020,218,13.761467889908257,0.0,0,08/24/2020 11:00AM
73544,3,0,3,08/24/2020,241,12.448132780082986,0.0,0,08/24/2020 11:00AM
73430,3,0,3,08/24/2020,1336,2.245508982035928,0.0,0,08/24/2020 11:00AM
74442,3,0,3,08/24/2020,901,3.329633740288568,0.0,0,08/24/2020 11:00AM
73771,3,0,3,08/24/2020,386,7.772020725388601,0.0,0,08/24/2020 11:00AM
